asset,tool,loss_axis,flags,violates,blast,sens_asset,S,I_C,I_I,I_A,score_C,score_I,score_A,driver,score_v6,band_v6,raised_by_cia,floored_by_sensitivity,workings,control,score_v5,band_v5,delta
payments-service,search_code,I>C>A,hub,C,3,4,4,4,3,0,48,36,0,C,48,medium,True,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,12.0
payments-service,search_issues,I>C>A,hub,C,2,4,4,4,3,0,32,24,0,C,32,medium,True,False,4×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,8.0
payments-service,get_pull_request,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
payments-service,list_pull_requests,I>C>A,hub,C,2,4,4,2,2,0,16,16,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),16.0,low,9.0
payments-service,create_pull_request_review,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
payments-service,merge_pull_request,I>C>A,hub,I,5,4,4,0,5,0,0,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
payments-service,get_pull_request_files,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
payments-service,get_pull_request_status,I>C>A,hub,C,1,4,4,2,2,0,8,8,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),8.0,low,17.0
payments-service,update_pull_request_branch,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
payments-service,get_pull_request_comments,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
payments-service,get_pull_request_reviews,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
backend-api,create_or_update_file,I>C>A,hub,I,3,4,4,0,5,0,0,60,0,I,60,high,False,False,4×3×5,require human confirmation — recoverable only if a restore path exists,60.0,high,0.0
backend-api,get_file_contents,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
backend-api,push_files,I>C>A,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
backend-api,create_pull_request,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
backend-api,fork_repository,I>C>A,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
backend-api,create_branch,I>C>A,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
backend-api,list_commits,I>C>A,hub,C,3,4,4,2,2,0,24,24,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),24.0,medium,1.0
backend-api,list_issues,I>C>A,hub,C,2,4,4,2,2,0,16,16,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),16.0,low,9.0
backend-api,search_code,I>C>A,hub,C,3,4,4,4,3,0,48,36,0,C,48,medium,True,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,12.0
backend-api,get_pull_request,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
backend-api,list_pull_requests,I>C>A,hub,C,2,4,4,2,2,0,16,16,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),16.0,low,9.0
backend-api,create_pull_request_review,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
backend-api,merge_pull_request,I>C>A,hub,I,5,4,4,0,5,0,0,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
backend-api,get_pull_request_files,I>C>A,hub,C,2,4,4,5,3,0,40,24,0,C,40,medium,True,False,4×2×5,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,16.0
backend-api,get_pull_request_status,I>C>A,hub,C,1,4,4,2,2,0,8,8,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),8.0,low,17.0
backend-api,update_pull_request_branch,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
backend-api,get_pull_request_comments,I>C>A,hub,C,2,4,4,5,3,0,40,24,0,C,40,medium,True,False,4×2×5,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,16.0
backend-api,get_pull_request_reviews,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
ml-research,create_or_update_file,C>I>A,,I,3,4,4,5,4,0,60,48,0,C,60,high,False,False,4×3×5,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,0.0
ml-research,get_file_contents,C>I>A,,C,1,4,4,5,0,0,20,0,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
ml-research,push_files,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
ml-research,create_pull_request,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
ml-research,fork_repository,C>I>A,,I,5,4,4,4,4,0,80,80,0,C,80,high,False,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",80.0,high,0.0
ml-research,list_commits,C>I>A,,C,3,4,4,2,0,0,24,0,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),24.0,medium,1.0
ml-research,list_issues,C>I>A,,C,2,4,4,2,0,0,16,0,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),16.0,low,9.0
ml-research,search_code,C>I>A,,C,3,4,4,4,0,0,48,0,0,C,48,medium,True,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,12.0
ml-research,search_issues,C>I>A,,C,2,4,4,4,0,0,32,0,0,C,32,medium,True,False,4×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,8.0
ml-research,list_pull_requests,C>I>A,,C,2,4,4,2,0,0,16,0,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),16.0,low,9.0
ml-research,create_pull_request_review,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
ml-research,get_pull_request_files,C>I>A,,C,1,4,4,5,0,0,20,0,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
ml-research,update_pull_request_branch,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
internal-docs,create_or_update_file,C>I>A,,I,3,3,3,5,4,0,45,36,0,C,45,medium,False,False,3×3×5,"deny — disclosure cannot be undone, so approval buys nothing",45.0,medium,0.0
internal-docs,get_file_contents,C>I>A,,C,1,3,3,5,0,0,15,0,0,C,15,low,True,False,3×1×5,"deny — disclosure cannot be undone, so approval buys nothing",9.0,low,6.0
internal-docs,push_files,C>I>A,,I,3,3,3,4,4,0,36,36,0,C,36,medium,False,False,3×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,0.0
internal-docs,create_issue,C>I>A,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
internal-docs,create_pull_request,C>I>A,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
internal-docs,create_branch,C>I>A,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
internal-docs,list_commits,C>I>A,,C,2,3,3,2,0,0,12,0,0,C,12,low,False,False,3×2×2,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,0.0
internal-docs,list_issues,C>I>A,,C,1,3,3,2,0,0,6,0,0,C,6,low,False,False,3×1×2,"deny — disclosure cannot be undone, so approval buys nothing",6.0,low,0.0
internal-docs,search_code,C>I>A,,C,3,3,3,4,0,0,36,0,0,C,36,medium,True,False,3×3×4,"deny — disclosure cannot be undone, so approval buys nothing",27.0,medium,9.0
internal-docs,search_issues,C>I>A,,C,2,3,3,4,0,0,24,0,0,C,24,medium,True,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",18.0,medium,6.0
public-website,create_or_update_file,I>C>A,public,I,3,1,1,0,5,0,0,15,0,I,15,low,False,False,1×3×5,require human confirmation — recoverable only if a restore path exists,15.0,low,0.0
public-website,get_file_contents,I>C>A,public,C,1,1,1,5,3,0,5,3,0,C,5,low,True,False,1×1×5,"deny — disclosure cannot be undone, so approval buys nothing",3.0,low,2.0
public-website,push_files,I>C>A,public,I,4,1,1,0,4,0,0,16,0,I,16,low,False,False,1×4×4,require human confirmation — recoverable only if a restore path exists,16.0,low,0.0
public-website,create_issue,I>C>A,public,I,2,1,1,0,4,0,0,8,0,I,8,low,False,False,1×2×4,require human confirmation — recoverable only if a restore path exists,8.0,low,0.0
public-website,create_pull_request,I>C>A,public,I,2,1,1,0,4,0,0,8,0,I,8,low,False,False,1×2×4,require human confirmation — recoverable only if a restore path exists,8.0,low,0.0
public-website,fork_repository,I>C>A,public,I,4,1,1,0,4,0,0,16,0,I,16,low,False,False,1×4×4,require human confirmation — recoverable only if a restore path exists,16.0,low,0.0
public-website,create_branch,I>C>A,public,I,2,1,1,0,4,0,0,8,0,I,8,low,False,False,1×2×4,require human confirmation — recoverable only if a restore path exists,8.0,low,0.0
public-website,list_commits,I>C>A,public,C,3,1,1,2,2,0,6,6,0,I,6,low,False,False,1×3×2,require human confirmation — recoverable only if a restore path exists,6.0,low,0.0
public-website,list_issues,I>C>A,public,C,1,1,1,2,2,0,2,2,0,I,2,low,False,False,1×1×2,require human confirmation — recoverable only if a restore path exists,2.0,low,0.0
public-website,search_code,I>C>A,public,C,2,1,1,4,3,0,8,6,0,C,8,low,True,False,1×2×4,"deny — disclosure cannot be undone, so approval buys nothing",6.0,low,2.0
public-website,get_pull_request,I>C>A,public,C,1,1,1,5,3,0,5,3,0,C,5,low,True,False,1×1×5,"deny — disclosure cannot be undone, so approval buys nothing",3.0,low,2.0
public-website,list_pull_requests,I>C>A,public,C,3,1,1,2,2,0,6,6,0,I,6,low,False,False,1×3×2,require human confirmation — recoverable only if a restore path exists,6.0,low,0.0
public-website,create_pull_request_review,I>C>A,public,I,2,1,1,0,4,0,0,8,0,I,8,low,False,False,1×2×4,require human confirmation — recoverable only if a restore path exists,8.0,low,0.0
public-website,merge_pull_request,I>C>A,public,I,4,1,1,0,5,0,0,20,0,I,20,medium,False,False,1×4×5,require human confirmation — recoverable only if a restore path exists,20.0,medium,0.0
public-website,get_pull_request_files,I>C>A,public,C,1,1,1,5,3,0,5,3,0,C,5,low,True,False,1×1×5,"deny — disclosure cannot be undone, so approval buys nothing",3.0,low,2.0
public-website,get_pull_request_status,I>C>A,public,C,1,1,1,2,2,0,2,2,0,I,2,low,False,False,1×1×2,require human confirmation — recoverable only if a restore path exists,2.0,low,0.0
public-website,update_pull_request_branch,I>C>A,public,I,4,1,1,0,4,0,0,16,0,I,16,low,False,False,1×4×4,require human confirmation — recoverable only if a restore path exists,16.0,low,0.0
public-website,get_pull_request_comments,I>C>A,public,C,1,1,1,5,3,0,5,3,0,C,5,low,True,False,1×1×5,"deny — disclosure cannot be undone, so approval buys nothing",3.0,low,2.0
public-website,get_pull_request_reviews,I>C>A,public,C,1,1,1,5,3,0,5,3,0,C,5,low,True,False,1×1×5,"deny — disclosure cannot be undone, so approval buys nothing",3.0,low,2.0
repository-contents,create_or_update_file,C>I>A,,I,3,4,4,5,4,0,60,48,0,C,60,high,False,False,4×3×5,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,0.0
repository-contents,get_file_contents,C>I>A,,C,4,4,4,5,0,0,80,0,0,C,80,high,True,False,4×4×5,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,32.0
repository-contents,push_files,C>I>A,,I,4,4,4,4,4,0,64,64,0,C,64,high,False,False,4×4×4,"deny — disclosure cannot be undone, so approval buys nothing",64.0,high,0.0
repository-contents,search_code,C>I>A,,C,3,4,4,4,0,0,48,0,0,C,48,medium,True,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,12.0
repository-contents,get_pull_request_files,C>I>A,,C,2,4,4,5,0,0,40,0,0,C,40,medium,True,False,4×2×5,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,16.0
repository-contents,update_pull_request_branch,C>I>A,,I,4,4,4,4,4,0,64,64,0,C,64,high,False,False,4×4×4,"deny — disclosure cannot be undone, so approval buys nothing",64.0,high,0.0
code-records,search_code,C>I>A,population,C,5,4,4,4,0,0,100,0,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,40.0
branch-heads,create_or_update_file,I>A>C,hub,I,5,4,4,0,5,0,0,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
branch-heads,push_files,I>A>C,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
branch-heads,create_pull_request,I>A>C,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
branch-heads,create_branch,I>A>C,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
branch-heads,list_commits,I>A>C,hub,C,2,4,4,2,2,0,16,16,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),16.0,low,9.0
branch-heads,merge_pull_request,I>A>C,hub,I,5,4,4,0,5,0,0,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
branch-heads,update_pull_request_branch,I>A>C,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
pull-requests-and-reviews,create_pull_request,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
pull-requests-and-reviews,search_code,I>C>A,hub,C,3,4,4,4,3,0,48,36,0,C,48,medium,True,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,12.0
pull-requests-and-reviews,search_issues,I>C>A,hub,C,3,4,4,4,3,0,48,36,0,C,48,medium,True,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,12.0
pull-requests-and-reviews,get_pull_request,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
pull-requests-and-reviews,list_pull_requests,I>C>A,hub,C,2,4,4,2,2,0,16,16,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),16.0,low,9.0
pull-requests-and-reviews,create_pull_request_review,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
pull-requests-and-reviews,merge_pull_request,I>C>A,hub,I,5,4,4,0,5,0,0,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
pull-requests-and-reviews,get_pull_request_files,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
pull-requests-and-reviews,get_pull_request_status,I>C>A,hub,C,1,4,4,2,2,0,8,8,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),8.0,low,17.0
pull-requests-and-reviews,update_pull_request_branch,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
pull-requests-and-reviews,get_pull_request_comments,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
pull-requests-and-reviews,get_pull_request_reviews,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
pull-request-records,create_or_update_file,I>C>A,hub,I,3,4,4,0,5,0,0,60,0,I,60,high,False,False,4×3×5,require human confirmation — recoverable only if a restore path exists,60.0,high,0.0
pull-request-records,create_pull_request,I>C>A,hub,I,4,4,4,0,4,0,0,80,0,I,80,high,True,False,4×4×4,require human confirmation — recoverable only if a restore path exists,64.0,high,16.0
pull-request-records,get_pull_request,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
pull-request-records,list_pull_requests,I>C>A,hub,C,3,4,4,2,2,0,24,24,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),24.0,medium,1.0
pull-request-records,create_pull_request_review,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
pull-request-records,merge_pull_request,I>C>A,hub,I,5,4,4,0,5,0,0,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
pull-request-records,get_pull_request_files,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
pull-request-records,get_pull_request_status,I>C>A,hub,C,1,4,4,2,2,0,8,8,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),8.0,low,17.0
pull-request-records,update_pull_request_branch,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
pull-request-records,get_pull_request_comments,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
pull-request-records,get_pull_request_reviews,I>C>A,hub,C,1,4,4,5,3,0,20,12,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
issues-and-comments,create_issue,C>I>A,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
issues-and-comments,list_issues,C>I>A,,C,3,3,3,2,0,0,18,0,0,C,18,medium,False,False,3×3×2,"deny — disclosure cannot be undone, so approval buys nothing",18.0,medium,0.0
issues-and-comments,update_issue,C>I>A,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
issues-and-comments,add_issue_comment,C>I>A,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
issues-and-comments,search_issues,C>I>A,,C,3,3,3,4,0,0,36,0,0,C,36,medium,True,False,3×3×4,"deny — disclosure cannot be undone, so approval buys nothing",27.0,medium,9.0
issues-and-comments,get_issue,C>I>A,,C,1,3,3,5,0,0,15,0,0,C,15,low,True,False,3×1×5,"deny — disclosure cannot be undone, so approval buys nothing",9.0,low,6.0
issues-and-comments,get_pull_request_comments,C>I>A,,C,1,3,3,5,0,0,15,0,0,C,15,low,True,False,3×1×5,"deny — disclosure cannot be undone, so approval buys nothing",9.0,low,6.0
issue-records,create_issue,I>C>A,,I,2,3,3,0,4,0,0,24,0,I,24,medium,False,False,3×2×4,require human confirmation — recoverable only if a restore path exists,24.0,medium,0.0
issue-records,list_issues,I>C>A,,C,2,3,3,2,2,0,12,12,0,I,12,low,False,False,3×2×2,require human confirmation — recoverable only if a restore path exists,12.0,low,0.0
issue-records,update_issue,I>C>A,,I,2,3,3,0,4,0,0,24,0,I,24,medium,False,False,3×2×4,require human confirmation — recoverable only if a restore path exists,24.0,medium,0.0
issue-records,add_issue_comment,I>C>A,,I,2,3,3,0,4,0,0,24,0,I,24,medium,False,False,3×2×4,require human confirmation — recoverable only if a restore path exists,24.0,medium,0.0
issue-records,search_issues,I>C>A,,C,3,3,3,4,3,0,36,27,0,C,36,medium,True,False,3×3×4,"deny — disclosure cannot be undone, so approval buys nothing",27.0,medium,9.0
issue-records,get_issue,I>C>A,,C,1,3,3,5,3,0,15,9,0,C,15,low,True,False,3×1×5,"deny — disclosure cannot be undone, so approval buys nothing",9.0,low,6.0
org-external-copies,search_repositories,C>I>A,population,C,5,4,4,4,0,0,100,0,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",40.0,medium,60.0
org-external-copies,create_repository,C>I>A,population,I,5,4,4,4,4,0,100,80,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",80.0,high,20.0
org-external-copies,fork_repository,C>I>A,population,I,5,4,4,4,4,0,100,80,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",80.0,high,20.0
org-external-copies,search_code,C>I>A,population,C,3,4,4,4,0,0,48,0,0,C,48,medium,True,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,12.0
repository-records,create_or_update_file,I>C>A,hub,I,3,3,3,0,5,0,0,45,0,I,45,medium,False,False,3×3×5,require human confirmation — recoverable only if a restore path exists,45.0,medium,0.0
repository-records,create_repository,I>C>A,hub,I,2,3,3,0,4,0,0,24,0,I,24,medium,False,False,3×2×4,require human confirmation — recoverable only if a restore path exists,24.0,medium,0.0
repository-records,fork_repository,I>C>A,hub,I,5,3,3,0,4,0,0,75,0,I,75,high,True,False,3×5×4,require human confirmation — recoverable only if a restore path exists,60.0,high,15.0
repository-catalog,search_repositories,C>I>A,metadata-only,C,3,3,3,4,0,0,36,0,0,C,36,medium,True,False,3×3×4,"deny — disclosure cannot be undone, so approval buys nothing",18.0,medium,18.0
branch-directory,create_branch,C>I>A,metadata-only,I,3,2,2,4,4,0,24,24,0,C,24,medium,False,False,2×3×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
