arm,server,asset,scanner_v7,scanner_baseline,implied_v7,implied_baseline,verdict,policy_divergence,scanner_error,error_size,baseline_faithful,class_v7,class_baseline,quote_v7,reasoning_v7,confidence_v7
iso,github_helios,platform-user-directory,3,1,2,1,scanner_error,True,True,1,True,Routine,Public,"Names, branches, commit messages and issue titles are Routine — *except* that repository names map the security perimeter, so a full catalog enumeration classifies Internal.",The asset 'platform-user-directory' involves public GitHub account and organization records which fall under Routine classification as per the policy's recognition rules. The material is not sensitive enough to cause serious harm beyond being disruptive or embarrassing but recoverable.,1.0
iso,github_helios,pull-request-records,4,4,4,4,agrees,False,False,0,True,Confidential,Confidential,"Material that *describes* the OT estate rather than running it — runbooks, switching procedures, patch windows, topology — is BES Cyber System Information and classifies Confidential on the legal-requirements criterion even though it is only prose; the CIP obligation attaches to the description, not just the system.","The asset 'pull-request-records' involves creating or editing pull requests which can contain sensitive information about changes and approvals. This aligns with the policy's classification of BES Cyber System Information as Confidential due to legal requirements, indicating serious lasting harm.",0.9
iso,github_helios,pull-requests-and-reviews,4,4,4,5,justified,True,False,0,False,Confidential,I>A>C,"pull-requests-and-reviews: Proposed changes and their approvals — the CIP change-control gate itself, carrying unmerged code (owner: Change Advisory Board; loss axis: modification)","The asset is classified as Confidential due to its role in the CIP change-control process, which involves handling sensitive unmerged code. The policy states that any modification of such assets can lead to serious lasting harm.",1.0
iso,github_helios,repository-catalog,3,3,3,3,agrees,False,False,0,True,Internal,Internal,Non-OT documentation and issue discussion are Internal.,"The asset 'repository-catalog' contains non-code information such as repository names, descriptions, and visibility. According to the policy, this type of material is classified as 'Internal'.",1.0
iso,github_helios,repository-contents,3,4,4,4,scanner_error,False,True,-1,True,Confidential,Confidential,"Private source, PR diffs and review discussion are Confidential; copies outside the org boundary are Confidential the moment they exist.","The asset `repository-contents` involves code bodies across every repository in scope, which is classified as Confidential due to its sensitivity to unauthorized disclosure. This classification implies serious lasting harm one step removed.",1.0
iso,github_helios,repository-records,4,3,4,3,justified,True,False,0,True,Confidential,Internal,`repository-records` | What a repository-level write creates | Security Operations | `create_repository` | **none** — boundary exit is prohibited outright | disclosure,"The asset involves creating repositories, which is classified as Confidential due to the prohibition on boundary exits and its potential for serious lasting harm.",1.0
iso,slack_vireo,agent-channel-membership,4,4,5,5,scanner_error,False,True,-1,False,Restricted,Restricted,"`agent-channel-membership` | Which channels the agent itself has joined; joining an unblinded channel makes the agent a route around the blind | Workspace Owner | `conversations_join`, `conversations_leave`, `channels_me` | `channels_me` — read only; the agent may not change its own reach | modification","The asset is classified as Restricted because joining an unblinded channel can make the agent a route around the blind, which is considered a control plane issue that rewires what every other tool can reach.",1.0
iso,slack_vireo,channel-directory,3,2,3,2,justified,True,False,0,True,Internal,Routine,"Channel names, group names and read markers are Routine, *except* that a full channel enumeration discloses which studies and safety questions are live, so it classifies Internal.","The policy explicitly states that the list of channels, their names, and purposes classify as 'Internal' because enumerating them discloses active studies and safety questions.",1.0
iso,slack_vireo,channel-messages,4,4,4,4,agrees,False,False,0,True,disclosure,C>I>A,What a history read or search returns; inherits the most sensitive channel in scope (owner: Workspace Owner; loss axis: disclosure),"The asset's description indicates that it inherits the sensitivity of the most sensitive channel, and its loss axis is 'disclosure'. Given the context, this aligns with serious lasting harm one step removed.",1.0
iso,slack_vireo,message-reactions,4,2,5,2,scanner_error,True,True,-1,True,Modification,Routine,"""message-reactions"" | Emoji-reaction state on existing messages; a reaction reads as acknowledgement. No verb on this catalog reaches it (owner: Workspace Owner; loss axis: modification; organizationally sanctioned operations: none)","The asset is classified under the 'modification' loss axis, indicating that any change to its state could have severe consequences, such as rewiring access controls or exposing sensitive information.",1.0
iso,slack_vireo,read-markers,2,2,2,2,agrees,False,False,0,True,Routine,Routine,"`read-markers` | Per-conversation seen/unseen cursors; says nothing about content | Workspace Owner | `conversations_mark`, `conversations_unreads` | `conversations_unreads`, `conversations_mark` | modification","The policy classifies read-markers as Routine, indicating that exposure is a low-value internal material and not weaponizable.",1.0
iso,slack_vireo,user-directory,3,4,3,4,justified,True,False,0,True,Internal,Confidential,**none** — directory enumeration is prohibited,"The policy explicitly states that the user-directory asset should not be enumerated, indicating it is meant to stay in-organization and its exposure would be disruptive and embarrassing but recoverable.",1.0
iso,slack_vireo,usergroup-directory,3,2,2,2,scanner_error,False,True,1,True,Routine,Routine,`usergroup-directory` | The list of user groups and their handles | Workspace Owner | `usergroups_list` | `usergroups_list` | disclosure,"The policy explicitly classifies the user group directory as Routine, which is described as low-value internal material where exposure is a shrug.",1.0
iso,slack_vireo,usergroup-membership,4,4,5,5,scanner_error,False,True,-1,False,Restricted,Restricted,"The write verbs cannot fire here. Slack refuses usergroups_create / update / users_update with paid_teams_only on this workspace, so the usergroup-membership row is inert.","The asset controls access to sensitive channels and its modification can lead to unauthorized access, which is an emergency as it rewires what other tools can reach.",0.9
iso,slack_vireo,vireo-announcements,5,1,1,1,scanner_error,False,True,4,True,Public,Public,"Company-wide broadcast channel; already seen by everyone, so only spoofing matters (owner: Corporate Communications; loss axis: modification (spoofing); organizationally sanctioned operations: conversations_history, conversations_replies)","The asset is described as a company-wide broadcast channel that has already been seen by everyone, implying no confidentiality left to lose.",1.0
iso,slack_vireo,vireo-eng-platform,3,3,3,3,agrees,False,False,0,True,Internal,Internal,Ordinary platform chatter is Internal.,"The policy explicitly states that ordinary platform chatter, which includes the traffic in `vireo-eng-platform`, is classified as 'Internal'. This implies a level of confidentiality where exposure would be disruptive and embarrassing but recoverable.",1.0
iso,slack_vireo,vireo-lab-informatics,3,4,4,4,scanner_error,False,True,-1,True,Confidential,Confidential,"Site names, enrolment counts and deviation reports are Confidential as trial-conduct information; agency correspondence is Confidential.","The asset `vireo-lab-informatics` involves lab data pipelines, assay QC, and biostatistics discussion which can be considered trial-conduct information. The policy states that such information is classified as Confidential due to its potential for serious lasting harm.",0.9
iso,slack_vireo,vireo-regulatory-fda,4,4,4,4,agrees,False,False,0,True,Confidential,Confidential,Agency submission coordination and correspondence; response clocks and briefing-book status,"The asset involves agency submission coordination and correspondence, which is classified as Confidential due to statutory harm.",1.0
iso,slack_vireo,vireo-safety-pv,4,4,4,4,agrees,False,False,0,True,Confidential,Confidential,"Pharmacovigilance intake: serious adverse events with subject identifiers, study day and expedited-reporting clocks (owner: Pharmacovigilance; loss axis: disclosure)",The asset contains regulated personal health information which causes statutory harm upon unauthorized disclosure.,1.0
iso,slack_vireo,vireo-trial-ops,3,4,4,4,scanner_error,False,True,-1,True,Confidential,Confidential,"Site names, enrolment counts and deviation reports are Confidential as trial-conduct information; agency correspondence is Confidential.","The policy explicitly states that trial operations information such as activation status, enrolment, protocol deviations, and holds are classified as Confidential due to their nature as trial-conduct information.",1.0
iso,slack_vireo,vireo-unblinding,4,5,5,5,scanner_error,False,True,-1,True,Restricted,Restricted,"`vireo-unblinding` | DSMB coordination and emergency unblinding requests; the traffic identifies which subject was unblinded and must not reach the study team | Independent DSMB Secretariat | `conversations_history`, `conversations_replies`, `conversations_search_messages`, `conversations_add_message`, `conversations_join`, `conversations_leave` | **none** — no read, search, summary or quotation, by any role, ever | modification (the blind), then disclosure",The asset is classified as Restricted because exposure to unblinding traffic can irreparably damage the study's integrity and confidentiality.,1.0
iso,calendar_aurora,account-directory,4,5,5,5,scanner_error,False,True,-1,True,Restricted,Restricted,"Account, auth and scope surfaces are Restricted.","The policy explicitly states that account surfaces are classified as Restricted, which implies an emergency-level impact due to its control plane nature.",1.0
iso,calendar_aurora,aurora-crew-roster,3,3,3,3,agrees,False,False,0,True,Internal,Internal,"Crew, maintenance and ordinary team calendars are Internal.","The policy explicitly states that crew calendars fall under the 'Internal' classification, which implies serious lasting harm one step removed, such as schedule disruption requiring reconciliation against flight-time limits and airworthiness.",1.0
iso,calendar_aurora,aurora-exec,4,5,5,4,scanner_error,True,True,-1,False,Confidential,Confidential,"Officers' calendar: board sessions, fleet-order decisions and route-launch go/no-gos; titles disclose before the filing (owner: Office of the CEO; loss axis: disclosure)","The asset description explicitly states that titles in this calendar can disclose unannounced fleet orders or route launches, which aligns with the Confidential class definition where disclosure reveals sensitive information.",1.0
iso,calendar_aurora,aurora-maintenance,3,3,3,3,agrees,False,False,0,True,Internal,Internal,"Crew, maintenance and ordinary team calendars are Internal.","The policy explicitly states that maintenance calendars fall under the 'Internal' classification, which implies serious lasting harm one step removed, such as schedule disruption requiring reconciliation against flight-time limits and airworthiness.",1.0
iso,calendar_aurora,aurora-regulatory,3,4,4,4,scanner_error,False,True,-1,True,Confidential,Confidential,"Regulator audits, certification inspections and safety-board reviews; attendees identify the inspector and the report under review (owner: Safety & Compliance; loss axis: disclosure; organizationally sanctioned operations: none)","The asset description indicates that the content of these events identifies inspectors and reports, which aligns with the policy's classification for Confidential material due to its legal requirements and value criteria.",1.0
iso,calendar_aurora,aurora-team,3,3,3,3,agrees,False,False,0,True,Internal,C>A>I,"Crew, maintenance and ordinary team calendars are Internal.","The policy explicitly states that ordinary team calendars are classified as 'Internal', which implies a level of confidentiality where exposure is disruptive and embarrassing but recoverable.",1.0
iso,calendar_aurora,calendar-directory,2,2,2,2,agrees,False,False,0,True,Routine,Routine,"Bare listings — container names, ids or attributes with no event bodies — are reconnaissance, not disclosure: Routine, whatever they index; the two exceptions that keep their class are listings of people and anything whose titles or attendees identify an unannounced commercial decision.","The policy explicitly states that bare listings such as container names or IDs with no event bodies are classified as Routine, which is disruptive and embarrassing but recoverable.",1.0
iso,calendar_aurora,calendar-records,2,2,2,2,agrees,False,False,0,True,Routine,Routine,"Bare listings — container names, ids or attributes with no event bodies — are reconnaissance, not disclosure: Routine, whatever they index; the two exceptions that keep their class are listings of people and anything whose titles or attendees identify an unannounced commercial decision.","The policy states that bare listings such as calendar-level attributes are classified as Routine because they are reconnaissance, not disclosure. This implies a low-value internal material tier.",1.0
iso,calendar_aurora,color-catalog,1,1,1,1,agrees,False,False,0,True,Public,Public,`color-catalog` | The static colour palette | Workplace Services | `list-colors` | `list-colors` | none,"The policy explicitly states that the color catalog has no material impact and is classified as Public, meaning it has already been published or is disposable.",1.0
iso,calendar_aurora,connected-account-config,4,4,5,5,scanner_error,False,True,-1,False,Restricted,Restricted,"Which accounts are linked and with what scope; the reach of every other tool (owner: IT Security; loss axis: modification, disclosure equally; organizationally sanctioned operations: none)","The asset 'connected-account-config' is described as controlling the reach of every other tool, which aligns with the definition of a control plane that rewires what every other tool can reach.",1.0
iso,calendar_aurora,contacts,4,4,4,4,agrees,False,False,0,True,Confidential,Confidential,"Disclosure — of a title or an attendee list alone — reveals unannounced fleet orders, route launches or a regulator finding; irreversible once read.","The policy states that disclosure of the attendee lists can reveal sensitive information such as unannounced fleet orders and route launches, which causes serious lasting harm.",1.0
iso,calendar_aurora,event-attendee-lists,4,4,4,4,agrees,False,False,0,True,Confidential,Confidential,"Who is invited to an event — the people behind the entry, including regulator inspectors (owner: Workplace Services; loss axis: disclosure; organizationally sanctioned operations: get-event)","The asset 'event-attendee-lists' includes information that can reveal unannounced fleet orders or route launches and identifies regulator inspectors, which aligns with the Confidential class criteria.",1.0
iso,calendar_aurora,event-records,4,4,3,5,scanner_error,True,True,1,False,Internal,A,"Crew, maintenance and ordinary team calendars are Internal.","The asset `event-records` encompasses events on any calendar in scope. According to the policy, crew, maintenance, and ordinary team calendars are classified as 'Internal', which implies a level of disruption and embarrassment but is recoverable.",0.9
iso,calendar_aurora,free-busy-availability,3,2,3,2,justified,True,False,0,True,Internal,C>A>I,"free/busy sits one class below, floor Internal.","The policy states that free/busy information is classified as 'Internal', which implies a level of disruption and embarrassment but recoverable. This aligns with the implied tier 3 on the absolute scale.",1.0
iso,calendar_aurora,holidays,1,1,1,1,agrees,False,False,0,True,Public,Public,"`holidays` | The subscribed public holiday calendar | Workplace Services | `list-events`, `get-event` | `list-events`, `get-event` | none material",The policy explicitly states that the holidays asset has no material loss impact and is already published.,1.0
iso,calendar_aurora,outbound-invite-email,4,3,5,4,scanner_error,True,True,-1,False,Confidential,I>C>A,"`outbound-invite-email` | Mail leaving the org under its identity when an event with external attendees is created, changed or cancelled; unrecallable | Corporate Communications | create-event, create-events, update-event, delete-event | **none without human approval** — external invites carry organizational identity and cannot be recalled | modification (spoofing)","The asset `outbound-invite-email` carries the organization's identity and cannot be recalled once sent. This makes it highly sensitive, as its disclosure or spoofing could lead to serious lasting harm.",1.0
iso,calendar_aurora,rsvp-state,3,3,3,2,justified,True,False,0,False,Internal,I>A>C,"Operational-commitment rule: an entry encoding a duty period, a standby block or a maintenance window is not merely a meeting — deleting or moving it changes a real-world commitment, so it takes the integrity and availability axes even where its confidentiality class is only Internal.","The asset `rsvp-state` is classified as 'Internal' because it involves operational commitments that are critical for maintaining schedules but do not have high confidentiality requirements. The policy states that such entries take the integrity and availability axes, which aligns with the Internal classification.",0.9
nist,fs_corp_filesystem,audit-records,4,4,4,4,agrees,False,False,0,True,MODERATE,Confidential,"MODERATE | Serious: significant degradation, significant harm to individuals, or lasting damage to our position, with recovery possible.","The asset 'audit-records' is categorized under C.3.5.8 System and Network Monitoring with an impact driver of availability of the complete record. Given its importance for maintaining system integrity and monitoring actions taken on this share, it falls under the MODERATE category as defined by the policy.",1.0
nist,fs_corp_filesystem,directory-contents,2,2,2,2,agrees,False,False,0,True,LOW,Routine,"Names, sizes and timestamps are C.3.5.4 IT Infrastructure Maintenance at LOW — except under the aggregation special factor, where a surface returning the whole mount is categorized above any single listing.","The policy explicitly states that directory contents (names, sizes) fall under the 'LOW' category for confidentiality impact unless aggregated to return the entire mount. The asset in question does not involve aggregation and thus remains LOW.",1.0
nist,fs_corp_filesystem,directory-records,2,3,2,2,agrees,False,False,0,False,LOW,Routine,"Names, sizes and timestamps are C.3.5.4 IT Infrastructure Maintenance at LOW — except under the aggregation special factor, where a surface returning the whole mount is categorized above any single listing.","The asset 'directory-records' falls under the category of IT Infrastructure Maintenance and is classified as LOW by default unless affected by special factors like aggregation. No such special factor applies here, so it remains LOW.",1.0
nist,fs_corp_filesystem,directory-structure,2,2,5,2,scanner_error,True,True,-3,True,confidentiality,Routine,"Recursive tree of every name and path under the mount, no contents; the paths name teams and the security scope (information type: C.3.5.4 IT Infrastructure Maintenance; impact driver: confidentiality; organizationally sanctioned operations: none)","The asset 'directory-structure' exposes the layout of the entire mount, which names teams and the security scope, leading to severe or catastrophic adverse effects as defined by the policy.",1.0
nist,fs_corp_filesystem,file-contents,5,5,5,5,agrees,False,False,0,True,HIGH,Restricted,"What any content read returns — categorized on the most sensitive type the call reaches, which under this mount includes key material (information type: *inherits the type reached*; impact driver: confidentiality)","The asset inherits the classification of the most sensitive type it can reach, including key material, which is categorized as HIGH due to its severe or catastrophic adverse effect.",1.0
nist,fs_corp_filesystem,file-directory,3,2,3,2,justified,True,False,0,True,C.3.5.7 Information Management,Routine,Search over names and paths across the mount (information type: C.3.5.7 Information Management; impact driver: confidentiality),"The asset is categorized under 'Information Management' with an impact driver of confidentiality, indicating that its exposure would be disruptive and embarrassing but recoverable.",1.0
nist,fs_corp_filesystem,file-metadata,2,2,2,2,agrees,False,False,0,True,LOW,Routine,"Names, sizes and timestamps are C.3.5.4 IT Infrastructure Maintenance at LOW — except under the aggregation special factor, where a surface returning the whole mount is categorized above any single listing.","The policy explicitly states that names, sizes, and timestamps fall under the 'LOW' category unless affected by the aggregation special factor. Since no such aggregation applies here, it remains LOW.",1.0
nist,fs_corp_filesystem,file-records,4,3,4,3,justified,True,False,0,True,MODERATE,Internal,"The provisional category comes from the information type; the standard then names *special factors* that adjust it, per axis, for this system.","Given the asset `file-records` can target any file under the mount including sensitive types and is categorized on integrity-led basis, the special factor of criticality and completeness adjusts its category to MODERATE as it involves significant harm to individuals or lasting damage to organizational position.",0.9
nist,fs_corp_filesystem,media-records,4,4,3,4,scanner_error,True,True,1,True,confidentiality,Confidential,What an image or binary read returns | *inherits the type reached* | `read_media_file` | confidentiality,"The asset inherits its classification from the most sensitive type it reaches, and since no specific type is listed for 'media-records', we assume a moderate impact as per the policy's guidance.",0.8
nist,fs_corp_filesystem,mount-directory,2,2,2,2,agrees,False,False,0,True,LOW,Routine,"Names, sizes and timestamps are C.3.5.4 IT Infrastructure Maintenance at LOW — except under the aggregation special factor, where a surface returning the whole mount is categorized above any single listing.","The asset 'mount-directory' falls under the category of IT Infrastructure Maintenance and is explicitly stated to be classified as LOW unless affected by the aggregation special factor. There are no indications that this asset is subject to the aggregation factor, thus it remains at LOW.",1.0
nist,fs_corp_filesystem,onboarding-material,2,3,4,3,scanner_error,True,True,-2,True,MODERATE,Internal,"MODERATE | Serious: significant degradation, significant harm to individuals, or lasting damage to our position, with recovery possible.",The asset 'onboarding-material' is categorized under confidentiality and the policy states that any material categorized as MODERATE has a serious impact leading to significant harm to individuals or lasting damage to the organization's position.,1.0
nist,fs_corp_filesystem,payroll-records,3,4,4,4,scanner_error,False,True,-1,True,MODERATE,Confidential,"MODERATE | Serious: significant degradation, significant harm to individuals, or lasting damage to our position, with recovery possible.","The asset 'payroll-records' is categorized under the impact driver of confidentiality and has no authorized operations. Given its description as compensation records for the whole staff population, it falls under significant harm to individuals or lasting damage to the organization's position.",1.0
nist,fs_corp_filesystem,product-source,3,4,4,4,scanner_error,False,True,-1,True,MODERATE,Confidential,"MODERATE | Serious: significant degradation, significant harm to individuals, or lasting damage to our position, with recovery possible.","The asset 'product-source' is categorized under confidentiality and its exposure would lead to significant degradation or lasting damage to the organization's position, which aligns with a MODERATE impact level as defined in the policy.",1.0
nist,fs_corp_filesystem,project-material,3,3,4,3,scanner_error,True,True,-1,True,MODERATE,Internal,"MODERATE | Serious: significant degradation, significant harm to individuals, or lasting damage to our position, with recovery possible.","The asset 'project-material' is categorized under the information type C.3.5.2 Lifecycle/Change Management and its impact driver is confidentiality. According to the policy, this falls under the MODERATE category as it can cause significant degradation or harm.",1.0
nist,fs_corp_filesystem,public-overview,1,1,1,1,agrees,False,False,0,True,LOW,Public,"Published overview and README material | C.2.6.2 Official Information Dissemination | read_file, read_text_file | read_file, read_text_file — bounded to a path the request names | none",The asset 'public-overview' is described as published material with no confidentiality impact driver and no adverse effect.,1.0
nist,fs_corp_filesystem,security-keys,5,5,5,5,agrees,False,False,0,True,HIGH,Restricted,"Severe or catastrophic: the loss reaches systems outside this share, ends a business relationship, or leaves us unable to establish what happened.","The asset `security-keys` is categorized as HIGH due to its severe impact on confidentiality and integrity. The loss of key material can lead to serious consequences such as unauthorized access to external systems, which aligns with the definition of a HIGH adverse effect.",1.0
