asset,tool,sensitivity,blast,impact,score,band
vireo-announcements,conversations_join,1,1,2,2,low
vireo-announcements,conversations_leave,1,N/A,5,N/A,na
vireo-announcements,conversations_mark,1,1,2,2,low
vireo-announcements,conversations_replies,1,2,3,6,low
vireo-announcements,conversations_search_messages,1,1,3,3,low
vireo-announcements,conversations_unreads,1,1,2,2,low
vireo-announcements,usergroups_create,1,N/A,4,N/A,na
vireo-announcements,usergroups_list,1,N/A,2,N/A,na
vireo-announcements,usergroups_me,1,N/A,5,N/A,na
vireo-announcements,usergroups_update,1,N/A,3,N/A,na
vireo-announcements,usergroups_users_update,1,N/A,5,N/A,na
vireo-announcements,users_search,1,N/A,3,N/A,na
channel-messages,channels_list,4,N/A,2,N/A,na
channel-messages,channels_me,4,N/A,2,N/A,na
channel-messages,conversations_add_message,4,3,3,36,medium
channel-messages,conversations_history,4,3,3,36,medium
channel-messages,conversations_join,4,4,2,32,medium
channel-messages,conversations_leave,4,N/A,5,N/A,na
channel-messages,conversations_mark,4,N/A,2,N/A,na
channel-messages,conversations_replies,4,4,3,48,medium
channel-messages,conversations_search_messages,4,4,3,48,medium
channel-messages,conversations_unreads,4,3,2,24,medium
channel-messages,usergroups_create,4,N/A,4,N/A,na
channel-messages,usergroups_list,4,N/A,2,N/A,na
channel-messages,usergroups_me,4,N/A,5,N/A,na
channel-messages,usergroups_update,4,N/A,3,N/A,na
channel-messages,usergroups_users_update,4,N/A,5,N/A,na
channel-messages,users_search,4,N/A,3,N/A,na
usergroup-membership,channels_list,4,N/A,2,N/A,na
usergroup-membership,channels_me,4,N/A,2,N/A,na
usergroup-membership,conversations_add_message,4,N/A,3,N/A,na
usergroup-membership,conversations_history,4,N/A,3,N/A,na
usergroup-membership,conversations_join,4,N/A,2,N/A,na
usergroup-membership,conversations_leave,4,N/A,5,N/A,na
usergroup-membership,conversations_mark,4,N/A,2,N/A,na
usergroup-membership,conversations_replies,4,N/A,3,N/A,na
usergroup-membership,conversations_search_messages,4,N/A,3,N/A,na
usergroup-membership,conversations_unreads,4,N/A,2,N/A,na
usergroup-membership,usergroups_create,4,N/A,4,N/A,na
usergroup-membership,usergroups_list,4,4,2,32,medium
usergroup-membership,usergroups_me,4,3,5,60,high
usergroup-membership,usergroups_update,4,N/A,3,N/A,na
usergroup-membership,usergroups_users_update,4,5,5,100,critical
usergroup-membership,users_search,4,N/A,3,N/A,na
agent-channel-membership,channels_list,4,N/A,2,N/A,na
agent-channel-membership,channels_me,4,4,2,32,medium
agent-channel-membership,conversations_add_message,4,N/A,3,N/A,na
agent-channel-membership,conversations_history,4,N/A,3,N/A,na
agent-channel-membership,conversations_join,4,4,2,32,medium
agent-channel-membership,conversations_leave,4,3,5,60,high
agent-channel-membership,conversations_mark,4,N/A,2,N/A,na
agent-channel-membership,conversations_replies,4,N/A,3,N/A,na
agent-channel-membership,conversations_search_messages,4,N/A,3,N/A,na
agent-channel-membership,conversations_unreads,4,N/A,2,N/A,na
agent-channel-membership,usergroups_create,4,N/A,4,N/A,na
agent-channel-membership,usergroups_list,4,N/A,2,N/A,na
agent-channel-membership,usergroups_me,4,N/A,5,N/A,na
agent-channel-membership,usergroups_update,4,N/A,3,N/A,na
agent-channel-membership,usergroups_users_update,4,N/A,5,N/A,na
agent-channel-membership,users_search,4,N/A,3,N/A,na
user-directory,channels_list,4,N/A,2,N/A,na
user-directory,channels_me,4,N/A,2,N/A,na
user-directory,conversations_add_message,4,N/A,3,N/A,na
user-directory,conversations_history,4,N/A,3,N/A,na
user-directory,conversations_join,4,N/A,2,N/A,na
user-directory,conversations_leave,4,N/A,5,N/A,na
user-directory,conversations_mark,4,N/A,2,N/A,na
user-directory,conversations_replies,4,N/A,3,N/A,na
user-directory,conversations_search_messages,4,N/A,3,N/A,na
user-directory,conversations_unreads,4,N/A,2,N/A,na
user-directory,usergroups_create,4,N/A,4,N/A,na
user-directory,usergroups_list,4,N/A,2,N/A,na
user-directory,usergroups_me,4,N/A,5,N/A,na
user-directory,usergroups_update,4,N/A,3,N/A,na
user-directory,usergroups_users_update,4,N/A,5,N/A,na
user-directory,users_search,4,4,3,48,medium
channel-directory,channels_list,2,3,2,12,low
channel-directory,channels_me,2,3,2,12,low
channel-directory,conversations_add_message,2,N/A,3,N/A,na
channel-directory,conversations_history,2,N/A,3,N/A,na
channel-directory,conversations_join,2,N/A,2,N/A,na
channel-directory,conversations_leave,2,N/A,5,N/A,na
channel-directory,conversations_mark,2,N/A,2,N/A,na
channel-directory,conversations_replies,2,N/A,3,N/A,na
channel-directory,conversations_search_messages,2,N/A,3,N/A,na
channel-directory,conversations_unreads,2,2,2,8,low
channel-directory,usergroups_create,2,N/A,4,N/A,na
channel-directory,usergroups_list,2,N/A,2,N/A,na
channel-directory,usergroups_me,2,N/A,5,N/A,na
channel-directory,usergroups_update,2,N/A,3,N/A,na
channel-directory,usergroups_users_update,2,N/A,5,N/A,na
channel-directory,users_search,2,N/A,3,N/A,na
usergroup-directory,channels_list,2,N/A,2,N/A,na
usergroup-directory,channels_me,2,N/A,2,N/A,na
usergroup-directory,conversations_add_message,2,N/A,3,N/A,na
usergroup-directory,conversations_history,2,N/A,3,N/A,na
usergroup-directory,conversations_join,2,N/A,2,N/A,na
usergroup-directory,conversations_leave,2,N/A,5,N/A,na
usergroup-directory,conversations_mark,2,N/A,2,N/A,na
usergroup-directory,conversations_replies,2,N/A,3,N/A,na
usergroup-directory,conversations_search_messages,2,N/A,3,N/A,na
usergroup-directory,conversations_unreads,2,N/A,2,N/A,na
usergroup-directory,usergroups_create,2,2,4,16,low
usergroup-directory,usergroups_list,2,4,2,16,low
usergroup-directory,usergroups_me,2,N/A,5,N/A,na
usergroup-directory,usergroups_update,2,3,3,18,medium
usergroup-directory,usergroups_users_update,2,N/A,5,N/A,na
usergroup-directory,users_search,2,N/A,3,N/A,na
read-markers,channels_list,2,N/A,2,N/A,na
read-markers,channels_me,2,N/A,2,N/A,na
read-markers,conversations_add_message,2,N/A,3,N/A,na
read-markers,conversations_history,2,N/A,3,N/A,na
read-markers,conversations_join,2,N/A,2,N/A,na
read-markers,conversations_leave,2,N/A,5,N/A,na
read-markers,conversations_mark,2,3,2,12,low
read-markers,conversations_replies,2,N/A,3,N/A,na
read-markers,conversations_search_messages,2,N/A,3,N/A,na
read-markers,conversations_unreads,2,4,2,16,low
read-markers,usergroups_create,2,N/A,4,N/A,na
read-markers,usergroups_list,2,N/A,2,N/A,na
read-markers,usergroups_me,2,N/A,5,N/A,na
read-markers,usergroups_update,2,N/A,3,N/A,na
read-markers,usergroups_users_update,2,N/A,5,N/A,na
read-markers,users_search,2,N/A,3,N/A,na
message-reactions,channels_list,2,N/A,2,N/A,na
message-reactions,channels_me,2,N/A,2,N/A,na
message-reactions,conversations_add_message,2,N/A,3,N/A,na
message-reactions,conversations_history,2,N/A,3,N/A,na
message-reactions,conversations_join,2,N/A,2,N/A,na
message-reactions,conversations_leave,2,N/A,5,N/A,na
message-reactions,conversations_mark,2,N/A,2,N/A,na
message-reactions,conversations_replies,2,N/A,3,N/A,na
message-reactions,conversations_search_messages,2,N/A,3,N/A,na
message-reactions,conversations_unreads,2,N/A,2,N/A,na
message-reactions,usergroups_create,2,N/A,4,N/A,na
message-reactions,usergroups_list,2,N/A,2,N/A,na
message-reactions,usergroups_me,2,N/A,5,N/A,na
message-reactions,usergroups_update,2,N/A,3,N/A,na
message-reactions,usergroups_users_update,2,N/A,5,N/A,na
message-reactions,users_search,2,N/A,3,N/A,na
