tool_name,mcp_server,primitive_operation,cvss_c,cvss_i,cvss_a,key_risk_note,,,,,
gdrive_delete_file,gdrive,delete,None,High,None,Moves to Trash (recoverable within 30 days) â€” lower irreversibility than filesystem delete; still disruptive,,,,,
gdrive_move_file,gdrive,move,None,Low,None,Relocates file; lower risk than edit; ACL follows the file so destination folder permissions apply,,,,,
gdrive_create_file,gdrive,write,None,Low,None,Creates new document; risk depends on content and sharing; low risk until share_file is called,,,,,
gdrive_create_folder,gdrive,write,None,Low,None,Creates empty folder; minimal standalone risk; used as staging for data collection,,,,,
actions_run_trigger,github,execute,High,High,High,Triggers any workflow_dispatch workflow with repo secrets; blast radius depends on what the workflow does (prod deploy = full system),,,,,
merge_pull_request,github,execute,High,High,None,Lands arbitrary code on the default branch if branch protection is absent; triggers push-event workflows; no review required by the API,,,,,
create_or_update_file,github,write,None,High,None,Writing to .github/workflows/* on main = supply-chain compromise; next CI run executes attacker code with repo secrets; CVSS I=High + Scope=Changed,,,,,
push_files,github,write,None,High,None,Atomic multi-file commit; can include workflow changes that land code execution; harder to review than single-file writes,,,,,
search_code,github,query,High,None,None,One query returns hardcoded secrets across every private repo the PAT can see; CVSS C=High; no redaction,,,,,
fork_repository,github,copy,High,None,None,Copies entire private repo including history to attacker-controlled account; CVSS C=High; no delete of fork required,, etc.; returns verbatim â€” no secret redaction; CVSS C=High,,,
get_file_contents,github,read,High,None,None,Can read .env.production, private_key.pem,,,,
list_secret_scanning_alerts,github,read,High,None,None,Returns known leaked-secret alerts â€” effectively a map of where secrets were committed; CVSS C=High,,,,,
get_job_logs,github,read,High,None,None,CI logs can echo secrets via set-env or print statements; CVSS C=High,,,,,
add_issue_comment,github,send,Low,None,None,Sends Slack/email notifications to all subscribers; can be used for social engineering or disinformation inside a PR thread,,,,,
list_code_scanning_alerts,github,read,High,None,None,Returns open CodeQL vulnerability alerts â€” a prioritised exploit roadmap; CVSS C=High,,,,,
create_pull_request,github,write,None,Low,None,Introduces code into review pipeline; agent can then call merge_pull_request if branch protection allows; CVSS I=Low,,,,,
create_issue,github,write,None,Low,None,Creates issue visible to all repo members; can inject false vulnerability reports or social-engineering lures,,,,,
get_teams,github,list,Low,None,None,Reveals org team structure and members; informs targeting for follow-on social engineering,,,,,
list_commits,github,read,Low,None,None,Commit messages can contain secrets or sensitive context pasted by developers,,,,,
get_repository_tree,github,list,Low,None,None,Repo file tree â€” maps attack surface for targeted get_file_contents calls,,,,,
delete_file,github,delete,None,High,None,Creates a deletion commit; recoverable from git history (irrev=1); deleting security workflow is the key abuse case,,,,,
list_branches,github,list,Low,None,None,Enumerates branches; reveals feature names and dev workflow; low content risk,,,,,
create_branch,github,write,None,Low,None,Creates a ref; used as staging for subsequent write/merge; low standalone risk,,,,,
get_me,github,read,Low,None,None,Returns token owner identity; confirms whose PAT the agent holds; informs targeting,,,,,
create_repository,github,write,None,Low,None,Creates new repo; low standalone risk; used as exfiltration staging repository,,,,,
star_repository,github,configure,None,Low,None,Social action; publicly visible; minimal security impact,,,,,
slack_post_message,slack,send,High,None,None,Posts as the bot with no sanitisation; <!channel> notifies everyone; phishing links render as trusted; no delete tool â†’ permanent,,,,,
slack_post_message (DM / thread),slack,send,High,None,None,Reply to incident thread with false all-clear; thread participants may stand down; no undo via API,,,,,
slack_reply_to_thread,slack,send,High,None,None,Identical risk profile to slack_post_message but scoped to a thread; misinformation in incident channels,,,,,
slack_get_users,slack,list,High,None,None,Single call dumps full employee PII directory: names, emails, timezones, status; CVSS C=High,,
slack_get_channel_history,slack,read,High,None,None,Reads full message history of any joined channel including #secops; credentials and CVE details posted during incidents are returned verbatim,,,,,
slack_get_thread_replies,slack,read,High,None,None,Reads a full thread; incident threads can contain credentials or CVE details pasted by responders,,,,,
slack_get_user_profile,slack,read,Low,None,None,Single user PII: real name, email, phone, title, timezone, status; targeted recon; CVSS C=Low (single record)
slack_list_channels,slack,list,Low,None,None,Enumerates channels including sensitive names; does NOT restrict history reads; reconnaissance step,,,,,
slack_add_reaction,slack,write,None,Low,None,Adds emoji; no remove_reaction tool â†’ permanent; low content risk but unremovable via MCP,,,,,
write_query,sqlite,execute,High,High,High,Accepts arbitrary SQL including DROP TABLE and DELETE *; no parameterisation; can destroy api_keys table in one call,,,,,
read_query,sqlite,query,High,None,None,SELECT * FROM api_keys returns all live service credentials; no row-level ACL; CVSS C=High,,,,,
create_table,sqlite,write,None,Low,None,DDL-only; can create shadow table (CREATE TABLE shadow AS SELECT * FROM api_keys via write_query); low on its own,,,,,
list_tables,sqlite,list,Low,None,None,Reveals full table catalog including sensitive table names (api_keys, employees); informs read_query targeting,,,,
describe_table,sqlite,read,Low,None,None,Returns CREATE TABLE DDL; reveals column names and constraints including salary and key columns,,,,,
append_insight,sqlite,write,None,Low,None,Parameterised INSERT into insights only; injection-safe; low blast radius,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,MITRE ATT&CK Enterprise v15 — https://attack.mitre.org/,,,,,
,,,,,,CVSS v3.1 Specification — https://www.first.org/cvss/v3.1/specification-document,,,,,
,,,,,,OWASP AIVSS v0.5 — https://aivss.owasp.org/,,,,,
,,,,,,OWASP API Security Top 10 2023 — https://owasp.org/API-Security/,,,,,
,,,,,,OWASP Top 10 2021 (A10 SSRF) — https://owasp.org/Top10/,,,,,
,,,,,,NIST FIPS 199 / SP 800-30 / SP 800-60 — see nist-guidelines.md,,,,,
